pincode,district_lgd_code,lat,lng
611102,579,10.849400,79.738900
611103,579,10.849400,79.738900
611104,579,10.771017,79.755033
611105,579,10.741100,79.718900
611106,579,10.767100,79.830625
611108,579,10.961114,79.676829
611109,579,10.696100,79.739689
611110,579,10.626500,79.811800
611111,579,10.683300,79.833300
611112,579,10.597000,79.834900
612001,586,10.970600,79.406300
612002,586,10.970600,79.406300
612101,586,11.006814,79.483286
612102,586,10.716050,79.365700
612103,586,10.985800,79.410200
612104,586,10.976300,79.454500
612105,586,11.009700,79.434900
612106,586,11.085150,79.526050
612201,735,10.861550,79.634367
612202,586,10.950660,79.474420
612203,735,10.930933,79.529633
612204,586,10.964960,79.435380
612301,586,10.977280,79.298560
612302,586,10.956933,79.338500
612303,586,10.981000,79.338000
612401,586,10.944260,79.416520
612402,586,10.904000,79.407800
612501,586,10.730067,79.261817
612502,586,11.150000,79.480300
612503,586,10.770483,79.254667
612504,586,11.067714,79.425286
612601,590,10.725175,79.521900
612602,586,10.925000,79.450186
612603,590,10.798380,79.486020
612604,590,10.763729,79.529729
612605,586,10.814950,79.313383
612610,590,10.679700,79.536000
612701,590,10.910200,79.339300
612702,586,10.949900,79.356100
612703,586,10.930000,79.347700
612801,590,10.679700,79.536000
612802,590,10.808100,79.389129
612803,590,10.730688,79.426412
612804,590,10.733780,79.495960
612901,610,11.175500,79.246790
612902,610,11.147800,79.405317
612903,610,11.250658,79.459275
612904,610,11.092918,79.330418
612905,591,10.888900,78.570400
613001,586,10.680775,79.233792
613002,586,10.671600,79.241300
613003,586,10.821829,79.163000
613004,586,10.774075,79.099400
613005,586,10.855300,79.106400
613006,586,10.704925,79.150400
613007,586,10.855300,79.106400
613008,586,10.855300,79.106400
613009,586,10.923500,79.432900
613010,586,10.855300,79.106400
613101,586,10.844286,79.017414
613102,586,10.696633,79.181600
613103,586,10.753100,78.944500
613104,586,10.853417,78.971817
613105,586,10.868100,78.955000
613201,586,10.874000,79.113500
613202,586,10.860900,79.108300
613203,586,10.882180,79.041220
613204,586,10.776691,79.189027
613205,586,10.671600,79.241300
613301,582,10.466721,78.954079
613303,586,10.654200,79.099500
613401,586,10.721100,79.013600
613402,586,10.692300,79.166556
613403,586,10.718980,79.061900
613501,586,10.758100,79.201000
613502,586,10.742300,79.239800
613503,586,10.781700,79.246200
613504,586,10.813200,79.272087
613601,586,10.769200,79.094080
613602,586,10.707490,79.163720
613701,590,10.987000,79.721700
613702,579,10.857500,79.608500
613703,590,10.691013,79.530450
613704,590,10.733500,79.600700
613705,590,10.822075,79.468100
614001,590,10.679700,79.536000
614013,590,10.701200,79.363300
614014,590,10.680414,79.432114
614015,590,10.677675,79.462325
614016,590,10.645500,79.420200
614017,590,10.657033,79.474950
614018,590,10.670791,79.510773
614019,586,10.698557,79.344443
614020,590,10.569500,79.475300
614101,590,10.702611,79.517200
614102,590,10.703100,79.511300
614103,590,10.731600,79.506500
614201,586,10.896700,79.194300
614202,586,10.921000,79.173000
614203,586,10.709429,79.241814
614204,586,10.916300,79.239900
614205,586,10.671600,79.241300
614206,586,10.862100,79.158600
614207,586,10.671600,79.241300
614208,586,10.755667,79.260967
614210,586,10.671600,79.241300
614211,586,10.671600,79.241300
614301,586,10.848900,79.218100
614302,586,10.800483,79.360683
614303,586,10.871725,79.222200
614401,586,10.804000,79.332225
614402,586,10.765617,79.321900
614403,590,10.768680,79.364380
614404,590,10.776980,79.434610
614601,586,10.398600,79.245600
614602,586,10.452406,79.270763
614612,586,10.457400,79.209100
614613,586,10.401789,79.407800
614614,586,10.480487,79.196613
614615,586,10.477680,79.266900
614616,582,10.106194,78.931306
614617,582,10.186950,79.056300
614618,582,10.358600,78.881200
614619,582,10.358600,78.881200
614620,582,10.358600,78.881200
614621,582,10.426350,79.093250
614622,582,10.256087,78.983513
614623,586,10.307575,79.141400
614624,582,10.331086,78.948086
614625,586,10.605592,79.269692
614626,586,10.529900,79.272789
614628,586,10.426100,79.208400
614629,582,10.269443,78.878914
614630,582,10.122800,79.090314
614701,586,10.338500,79.368514
614702,590,10.484150,79.556900
614703,590,10.521000,79.632036
614704,590,10.661064,79.409955
614705,590,10.513286,79.509114
614706,590,10.545200,79.494100
614707,579,10.378886,79.787914
614708,590,10.545200,79.494100
614710,590,10.611067,79.543283
614711,579,10.785580,79.732260
614712,579,10.756500,79.744350
614713,590,10.679700,79.536000
614714,579,10.429200,79.649800
614715,590,10.658580,79.549170
614716,590,10.641680,79.692100
614717,590,10.604113,79.526400
614723,586,10.282000,79.312200
614738,590,10.568200,79.414300
614801,582,10.358600,78.881200
614802,586,10.274400,79.278200
614803,586,10.602433,79.223600
614804,586,10.317042,79.200342
